35 | 22050.00 | [18.0, -18.5, 12.0, -9.25, 7.2, -6.166666666666667, 5.142857142857143, -4.625, 4.0, -3.7, 3.272727272727273, -3.0833333333333335, 2.769230769230769, -2.642857142857143, 2.4, -2.3125, 2.1176470588235294, -2.0555555555555554, 1.894736842105263, -1.85, 1.7142857142857142, -1.6818181818181819, 1.565217391304348, -1.5416666666666667, 1.44, -1.4230769230769231, 1.3333333333333333, -1.3214285714285714, 1.2413793103448276, -1.2333333333333334, 1.1612903225806452, -1.15625, 1.0909090909090908, -1.088235294117647, 1.0285714285714285]
36 | 23310.00 | [-19.0, 18.5, -12.666666666666666, 9.25, -7.6, 6.166666666666667, -5.428571428571429, 4.625, -4.222222222222222, 3.7, -3.4545454545454546, 3.0833333333333335, -2.923076923076923, 2.642857142857143, -2.533333333333333, 2.3125, -2.235294117647059, 2.0555555555555554, -2.0, 1.85, -1.8095238095238095, 1.6818181818181819, -1.6521739130434783, 1.5416666666666667, -1.52, 1.4230769230769231, -1.4074074074074074, 1.3214285714285714, -1.3103448275862069, 1.2333333333333334, -1.2258064516129032, 1.15625, -1.1515151515151516, 1.088235294117647, -1.0857142857142856, 1.0277777777777777]
37 | 26011.00 | [19.0, -19.5, 12.666666666666666, -9.75, 7.6, -6.5, 5.428571428571429, -4.875, 4.222222222222222, -3.9, 3.4545454545454546, -3.25, 2.923076923076923, -2.7857142857142856, 2.533333333333333, -2.4375, 2.235294117647059, -2.1666666666666665, 2.0, -1.95, 1.8095238095238095, -1.7727272727272727, 1.6521739130434783, -1.625, 1.52, -1.5, 1.4074074074074074, -1.3928571428571428, 1.3103448275862069, -1.3, 1.2258064516129032, -1.21875, 1.1515151515151516, -1.1470588235294117, 1.0857142857142856, -1.0833333333333333, 1.027027027027027]
38 | 27417.00 | [-20.0, 19.5, -13.333333333333334, 9.75, -8.0, 6.5, -5.714285714285714, 4.875, -4.444444444444445, 3.9, -3.6363636363636362, 3.25, -3.076923076923077, 2.7857142857142856, -2.6666666666666665, 2.4375, -2.3529411764705883, 2.1666666666666665, -2.1052631578947367, 1.95, -1.9047619047619047, 1.7727272727272727, -1.7391304347826086, 1.625, -1.6, 1.5, -1.4814814814814814, 1.3928571428571428, -1.3793103448275863, 1.3, -1.2903225806451613, 1.21875, -1.2121212121212122, 1.1470588235294117, -1.1428571428571428, 1.0833333333333333, -1.0810810810810811, 1.0263157894736843]
39 | 30420.00 | [20.0, -20.5, 13.333333333333334, -10.25, 8.0, -6.833333333333333, 5.714285714285714, -5.125, 4.444444444444445, -4.1, 3.6363636363636362, -3.4166666666666665, 3.076923076923077, -2.9285714285714284, 2.6666666666666665, -2.5625, 2.3529411764705883, -2.2777777777777777, 2.1052631578947367, -2.05, 1.9047619047619047, -1.8636363636363635, 1.7391304347826086, -1.7083333333333333, 1.6, -1.5769230769230769, 1.4814814814814814, -1.4642857142857142, 1.3793103448275863, -1.3666666666666667, 1.2903225806451613, -1.28125, 1.2121212121212122, -1.2058823529411764, 1.1428571428571428, -1.1388888888888888, 1.0810810810810811, -1.0789473684210527, 1.0256410256410255]
40 | 31980.00 | [-21.0, 20.5, -14.0, 10.25, -8.4, 6.833333333333333, -6.0, 5.125, -4.666666666666667, 4.1, -3.8181818181818183, 3.4166666666666665, -3.230769230769231, 2.9285714285714284, -2.8, 2.5625, -2.4705882352941178, 2.2777777777777777, -2.210526315789474, 2.05, -2.0, 1.8636363636363635, -1.826086956521739, 1.7083333333333333, -1.68, 1.5769230769230769, -1.5555555555555556, 1.4642857142857142, -1.4482758620689655, 1.3666666666666667, -1.3548387096774193, 1.28125, -1.2727272727272727, 1.2058823529411764, -1.2, 1.1388888888888888, -1.135135135135135, 1.0789473684210527, -1.0769230769230769, 1.025]
41 | 35301.00 | [21.0, -21.5, 14.0, -10.75, 8.4, -7.166666666666667, 6.0, -5.375, 4.666666666666667, -4.3, 3.8181818181818183, -3.5833333333333335, 3.230769230769231, -3.0714285714285716, 2.8, -2.6875, 2.4705882352941178, -2.388888888888889, 2.210526315789474, -2.15, 2.0, -1.9545454545454546, 1.826086956521739, -1.7916666666666667, 1.68, -1.6538461538461537, 1.5555555555555556, -1.5357142857142858, 1.4482758620689655, -1.4333333333333333, 1.3548387096774193, -1.34375, 1.2727272727272727, -1.2647058823529411, 1.2, -1.1944444444444444, 1.135135135135135, -1.131578947368421, 1.0769230769230769, -1.075, 1.024390243902439]
42 | 37023.00 | [-22.0, 21.5, -14.666666666666666, 10.75, -8.8, 7.166666666666667, -6.285714285714286, 5.375, -4.888888888888889, 4.3, -4.0, 3.5833333333333335, -3.3846153846153846, 3.0714285714285716, -2.933333333333333, 2.6875, -2.588235294117647, 2.388888888888889, -2.3157894736842106, 2.15, -2.0952380952380953, 1.9545454545454546, -1.9130434782608696, 1.7916666666666667, -1.76, 1.6538461538461537, -1.6296296296296295, 1.5357142857142858, -1.5172413793103448, 1.4333333333333333, -1.4193548387096775, 1.34375, -1.3333333333333333, 1.2647058823529411, -1.2571428571428571, 1.1944444444444444, -1.1891891891891893, 1.131578947368421, -1.1282051282051282, 1.075, -1.0731707317073171, 1.0238095238095237]
43 | 40678.00 | [22.0, -22.5, 14.666666666666666, -11.25, 8.8, -7.5, 6.285714285714286, -5.625, 4.888888888888889, -4.5, 4.0, -3.75, 3.3846153846153846, -3.2142857142857144, 2.933333333333333, -2.8125, 2.588235294117647, -2.5, 2.3157894736842106, -2.25, 2.0952380952380953, -2.0454545454545454, 1.9130434782608696, -1.875, 1.76, -1.7307692307692308, 1.6296296296296295, -1.6071428571428572, 1.5172413793103448, -1.5, 1.4193548387096775, -1.40625, 1.3333333333333333, -1.3235294117647058, 1.2571428571428571, -1.25, 1.1891891891891893, -1.1842105263157894, 1.1282051282051282, -1.125, 1.0731707317073171, -1.0714285714285714, 1.0232558139534884]
44 | 42570.00 | [-23.0, 22.5, -15.333333333333334, 11.25, -9.2, 7.5, -6.571428571428571, 5.625, -5.111111111111111, 4.5, -4.181818181818182, 3.75, -3.5384615384615383, 3.2142857142857144, -3.066666666666667, 2.8125, -2.7058823529411766, 2.5, -2.4210526315789473, 2.25, -2.1904761904761907, 2.0454545454545454, -2.0, 1.875, -1.84, 1.7307692307692308, -1.7037037037037037, 1.6071428571428572, -1.5862068965517242, 1.5, -1.4838709677419355, 1.40625, -1.393939393939394, 1.3235294117647058, -1.3142857142857143, 1.25, -1.2432432432432432, 1.1842105263157894, -1.1794871794871795, 1.125, -1.1219512195121952, 1.0714285714285714, -1.069767441860465, 1.0227272727272727]
45 | 46575.00 | [23.0, -23.5, 15.333333333333334, -11.75, 9.2, -7.833333333333333, 6.571428571428571, -5.875, 5.111111111111111, -4.7, 4.181818181818182, -3.9166666666666665, 3.5384615384615383, -3.357142857142857, 3.066666666666667, -2.9375, 2.7058823529411766, -2.611111111111111, 2.4210526315789473, -2.35, 2.1904761904761907, -2.1363636363636362, 2.0, -1.9583333333333333, 1.84, -1.8076923076923077, 1.7037037037037037, -1.6785714285714286, 1.5862068965517242, -1.5666666666666667, 1.4838709677419355, -1.46875, 1.393939393939394, -1.3823529411764706, 1.3142857142857143, -1.3055555555555556, 1.2432432432432432, -1.236842105263158, 1.1794871794871795, -1.175, 1.1219512195121952, -1.119047619047619, 1.069767441860465, -1.0681818181818181, 1.0222222222222221]
46 | 48645.00 | [-24.0, 23.5, -16.0, 11.75, -9.6, 7.833333333333333, -6.857142857142857, 5.875, -5.333333333333333, 4.7, -4.363636363636363, 3.9166666666666665, -3.6923076923076925, 3.357142857142857, -3.2, 2.9375, -2.823529411764706, 2.611111111111111, -2.526315789473684, 2.35, -2.2857142857142856, 2.1363636363636362, -2.0869565217391304, 1.9583333333333333, -1.92, 1.8076923076923077, -1.7777777777777777, 1.6785714285714286, -1.6551724137931034, 1.5666666666666667, -1.5483870967741935, 1.46875, -1.4545454545454546, 1.3823529411764706, -1.3714285714285714, 1.3055555555555556, -1.2972972972972974, 1.236842105263158, -1.2307692307692308, 1.175, -1.170731707317073, 1.119047619047619, -1.1162790697674418, 1.0681818181818181, -1.0666666666666667, 1.0217391304347827]
